caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
977,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Rarely,Sometimes,Rarely,Sometimes
978,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Rarely,Rarely,Often,Sometimes
980,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Rarely,Sometimes,Rarely
981,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Never,Very often,Very often
982,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Often,Often
983,,,,,,,,,,,,,
984,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Never,Never,Rarely
985,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Rarely,Never,Very often
986,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Rarely,Sometimes,Often,Often
987,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely
988,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Rarely,Often,Often
989,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Never,Rarely,Rarely,Rarely
990,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Rarely,Never,Often,Rarely
991,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Never,Rarely,Never,Rarely
992,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Often
993,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Often,Rarely,Rarely,Very often
994,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Rarely,Very often,Sometimes,Often
995,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Often,Often
996,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Rarely,Often
997,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Very often,Rarely,Often
998,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Never,Never,Sometimes,Rarely
999,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,,Rarely,,Sometimes
1000,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Never,Rarely,Sometimes,Sometimes
1001,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Never,Sometimes,Never,Often
1002,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Never,Sometimes,Never,
1003,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
1004,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Rarely,Never,Rarely,Rarely
1005,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Rarely,Rarely,Often
1006,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Often,Rarely,Often,Often
1007,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Sometimes,Sometimes,Sometimes
1008,"God created man pretty much in his present form at one time within the last 10,000 years",,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Sometimes
1009,,,,,,,,,,,,,
1010,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Very often,Very often,Very often
1011,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Sometimes,Rarely,Sometimes,Rarely
1012,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Rarely
1013,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Never,Rarely,Often,Never
1014,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Never,Rarely,,Never
1015,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
1016,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Very often,Often,Often
1017,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Never
1018,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Sometimes,Sometimes,Rarely,Rarely
1019,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Rarely,Rarely,Rarely,Often
1020,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Very often,Never
1021,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Never,Never,Never,Never
1022,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Sometimes,Often
1023,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Never,Never,Rarely,Very often
1024,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Never,Rarely,Never,Rarely
1025,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Rarely,Rarely,Often,Sometimes
1026,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Never,Sometimes,Never,Sometimes
1027,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Often,Often,Rarely,Never
1028,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Rarely,Sometimes,Sometimes,Rarely
1029,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Sometimes,Never,Often,Sometimes
1030,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Rarely,Sometimes,Sometimes,Very often
